Location,Variant,Time,TPopulation1July,PopDensity,MedianAgePop,PopGrowthRate,TFR,NatChange,NetMigrations
Bangladesh,Medium,2000,134544.304,1033.6046,19.6749,1.75,3.2789,2867.528,-512.422
Bangladesh,Medium,2001,136805.81,1050.978,19.905,1.585,3.2029,2905.646,-737.74
Bangladesh,Medium,2002,138933.658,1067.3247,20.0913,1.503,3.1257,2907.691,-819.909
Bangladesh,Medium,2003,140970.351,1082.9711,20.2875,1.409,3.0293,2881.936,-896.335
Bangladesh,Medium,2004,142902.856,1097.8171,20.4891,1.315,2.9399,2849.638,-970.264
Bangladesh,Medium,2005,144715.786,1111.7445,20.6961,1.207,2.8457,2783.057,-1036.635
Bangladesh,Medium,2006,146405.974,1124.729,20.9106,1.116,2.7554,2725.726,-1091.865
Bangladesh,Medium,2007,147989.278,1136.8924,21.1348,1.036,2.6662,2666.196,-1133.553
Bangladesh,Medium,2008,149474.264,1148.3004,21.3678,0.962,2.5771,2595.649,-1158.42
Bangladesh,Medium,2009,150873.714,1159.0513,21.614,0.902,2.4844,2511.774,-1150.194
Bangladesh,Medium,2010,152201.982,1169.2554,21.8784,0.851,2.3796,2408.581,-1113.727
Bangladesh,Medium,2011,153591.076,1179.9268,22.1702,0.966,2.3085,2332.184,-848.91
Bangladesh,Medium,2012,155070.101,1191.2891,22.4852,0.951,2.2632,2304.657,-829.875
Bangladesh,Medium,2013,156532.14,1202.5209,22.807,0.926,2.2465,2312.23,-862.944
Bangladesh,Medium,2014,157964.928,1213.5279,23.1335,0.897,2.2284,2305.513,-889.222
Bangladesh,Medium,2015,159383.179,1224.4233,23.4574,0.891,2.2274,2329.44,-909.223
Bangladesh,Medium,2016,160811.932,1235.3993,23.7742,0.894,2.2269,2356.055,-918.77
Bangladesh,Medium,2017,162186.146,1245.9564,24.0227,0.808,2.2055,2348.32,-1037.176
Bangladesh,Medium,2018,163523.104,1256.2273,24.201,0.833,2.1929,2391.845,-1029.069
Bangladesh,Medium,2019,164913.055,1266.9052,24.38,0.859,2.18,2433.931,-1016.796
Bangladesh,Medium,2020,166298.024,1277.5449,24.5578,0.813,2.1753,2355.321,-1002.522
Bangladesh,Medium,2021,167658.854,1287.9992,24.7333,0.816,2.1732,2363.572,-994.722
Bangladesh,Medium,2022,169384.898,1301.2591,24.9903,1.23,2.1786,2633.227,-549.99
Bangladesh,Medium,2023,171466.99,1317.2543,25.325,1.214,2.163,2630.878,-549.918
Bangladesh,Medium,2024,173562.364,1333.3515,25.6531,1.216,2.1384,2583.152,-473.362
